Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	http://www.w3.org/ns/org#hasUnit	rdfs:label	has unit@en
ERROR	duplicate_label	https://w3id.org/dfoc/salmon#hasUnit	rdfs:label	has unit@en
ERROR	multiple_definitions	http://www.w3.org/ns/dqv#inDimension	IAO:0000115	Dimensions are meant to systematically organize metrics, quality certificates and quality annotations. The Data Quality Vocabulary defines no specific cardinality constraints for dqv:inDimension, since distinct quality frameworks might have different perspectives over a metric. A metric may therefore be associated to more than one dimension. However, those who define new quality metrics should try to avoid this as much as possible and assign only one dimension to the metrics they define. More than one dimension can be indicated for each quality annotation or certificate.@en
ERROR	multiple_definitions	http://www.w3.org/ns/dqv#inDimension	IAO:0000115	Represents the dimensions a quality metric, certificate and annotation allow a measurement of.@en
WARN	annotation_whitespace	https://w3id.org/dfoc/salmon#AmberZone	IAO:0000115	Amber status implies caution in the management of the Conservation Unit. While a CU in the Amber zone should be at a low risk of loss, there will be a degree of lost production. Decisions about the conservation of CUs in the Amber zone will involve broader consideration of biological, social, and economic issues. @en
WARN	annotation_whitespace	https://w3id.org/dfoc/salmon#ExploitationRate	IAO:0000119	Fisheries and Oceans Canada. (2019). Government of Canada. Pacific Salmon - Glossary. https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html. [Accessed 09-10-2025] @en
WARN	annotation_whitespace	https://w3id.org/dfoc/salmon#LifeCycleModel	IAO:0000115	The life cycle of a typical fish species can be used as a template for considering the assessment of project-induced impacts on fisheries productivity. Fisheries productivity results from individual fish completing their life cycle, and having vital rates (reproduction, growth, survival, etc.) that are sufficient to generate a sustainable yield at the population level. @en
WARN	annotation_whitespace	https://w3id.org/dfoc/salmon#UpperStockReferencePoint	IAO:0000115	A threshold below which fishing must be reduced to avoid reaching the LRP. The USR must be set at an appropriate distance above the LRP to provide sufficient opportunity for managers to recognize a declining stock status and sufficient time for management actions to take effect. @en
WARN	missing_definition	IAO:0000115	IAO:0000115	
WARN	missing_definition	IAO:0000119	IAO:0000115	
WARN	missing_label	IAO:0000115	rdfs:label	
WARN	missing_label	IAO:0000119	rdfs:label	
WARN	missing_label	http://rs.tdwg.org/dwc/terms/Event	rdfs:label	
WARN	missing_label	http://rs.tdwg.org/dwc/terms/Organism	rdfs:label	
WARN	missing_label	http://rs.tdwg.org/dwc/terms/Protocol	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#AerialSurveyCount	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#AreaUnderTheCurve	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#BiologicalBenchmarkAndIndicatorScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#COSEWICStatusScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#CensusByManualCountAtFixedSite	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#CompleteEvidence	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#DataCurrencyDimension	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#DocEvidence	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#DowngradeCriteriaScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EnumerationMethod	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EnumerationMethodScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EstimateMethod	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EstimateMethodScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EstimateType	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EstimateTypeScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#EvidenceCompletenessDimension	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#FixedStationTally	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#GapsEvidence	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#MissingCriticalEvidence	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#ReachCoverage	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#SalmonOriginScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#StockStatusZoneScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#TemporalReferenceTypeScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Type1	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Type2	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Type3	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Type4	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Type5	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Type6	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Visibility	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#Visits	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#VisualSnorkelCount	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#WSPBiologicalStatusZoneScheme	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#hasMember	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#hasMemberCU	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#hasMemberStock	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#measuredVisits	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#taxonIRI	rdfs:label	
WARN	missing_label	https://w3id.org/dfoc/salmon#usesEnumerationMethod	rdfs:label	
INFO	lowercase_definition	http://purl.dataone.org/odo/ECSO_00002050	IAO:0000115	year of measurement@en
INFO	lowercase_definition	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of bâ€™s existence. (axiom label in BFO2 Reference: [050-003])@en
INFO	missing_superclass	BFO:0000015	rdfs:subClassOf	
INFO	missing_superclass	BFO:0000020	rdfs:subClassOf	
INFO	missing_superclass	BFO:0000031	rdfs:subClassOf	
INFO	missing_superclass	BFO:0000040	rdfs:subClassOf	
INFO	missing_superclass	skos:Concept	rdfs:subClassOf	
INFO	missing_superclass	skos:ConceptScheme	rdfs:subClassOf	
INFO	missing_superclass	http://www.w3.org/ns/org#Organization	rdfs:subClassOf	
